simulator,node,gpu,n_neurons,ncomp,n_steps,rep,wall_s
GENESIS 2.5,inf03,A100,10000,16,1000,1,1.3945
GENESIS 2.5,inf03,A100,10000,16,1000,2,1.3340
GENESIS 2.5,inf03,A100,10000,16,1000,3,1.3864
Arbor 0.10.0,inf03,A100,10000,16,1000,1,1.259
Arbor 0.10.0,inf03,A100,10000,16,1000,2,1.186
Arbor 0.10.0,inf03,A100,10000,16,1000,3,1.164
GENESIS 2.5,inf03,A100,10000,16,2500,1,1.4364
GENESIS 2.5,inf03,A100,10000,16,2500,2,1.4308
GENESIS 2.5,inf03,A100,10000,16,2500,3,1.4243
Arbor 0.10.0,inf03,A100,10000,16,2500,1,1.314
Arbor 0.10.0,inf03,A100,10000,16,2500,2,1.304
Arbor 0.10.0,inf03,A100,10000,16,2500,3,1.308
GENESIS 2.5,inf03,A100,10000,16,5000,1,1.5986
GENESIS 2.5,inf03,A100,10000,16,5000,2,1.5899
GENESIS 2.5,inf03,A100,10000,16,5000,3,1.5849
Arbor 0.10.0,inf03,A100,10000,16,5000,1,1.589
Arbor 0.10.0,inf03,A100,10000,16,5000,2,1.551
Arbor 0.10.0,inf03,A100,10000,16,5000,3,1.537
GENESIS 2.5,inf03,A100,10000,16,10000,1,1.9321
GENESIS 2.5,inf03,A100,10000,16,10000,2,1.9251
GENESIS 2.5,inf03,A100,10000,16,10000,3,1.9107
Arbor 0.10.0,inf03,A100,10000,16,10000,1,2.073
Arbor 0.10.0,inf03,A100,10000,16,10000,2,2.018
Arbor 0.10.0,inf03,A100,10000,16,10000,3,2.044
GENESIS 2.5,inf03,A100,10000,16,20000,1,2.6121
GENESIS 2.5,inf03,A100,10000,16,20000,2,2.5989
GENESIS 2.5,inf03,A100,10000,16,20000,3,2.6026
Arbor 0.10.0,inf03,A100,10000,16,20000,1,3.023
Arbor 0.10.0,inf03,A100,10000,16,20000,2,2.982
Arbor 0.10.0,inf03,A100,10000,16,20000,3,3.016
GENESIS 2.5,inf03,A100,10000,16,50000,1,4.5644
GENESIS 2.5,inf03,A100,10000,16,50000,2,4.5493
GENESIS 2.5,inf03,A100,10000,16,50000,3,4.5629
Arbor 0.10.0,inf03,A100,10000,16,50000,1,5.964
Arbor 0.10.0,inf03,A100,10000,16,50000,2,5.961
Arbor 0.10.0,inf03,A100,10000,16,50000,3,5.928
