t_ms,vm_soma_mV,vm_far_mV
1.79,34.03583879,-55.26502885
1.8,34.07457541,-54.64454823
1.81,34.07102232,-53.98711737
1.82,34.0295643,-53.29045804
1.83,33.95403169,-52.55214394
1.84,33.84776457,-51.76958683
1.85,33.71367367,-50.94002153
1.86,33.55429641,-50.06048966
1.87,33.37184753,-49.12782255
1.88,33.1682639,-48.13862915
1.89,32.94524389,-47.08926451
1.9,32.70428151,-45.9758176
1.91,32.44669581,-44.79409484
1.92,32.17365611,-43.53960449
1.93,31.88620354,-42.20754429
1.94,31.58526937,-40.79279512
1.95,31.27169061,-39.28992375
1.96,30.94622318,-37.69319893
1.97,30.60955322,-35.9966266
1.98,30.26230655,-34.19401166
1.99,29.90505683,-32.27905596
2,29.53833234,-30.24550445
2.01,29.16262196,-28.08735399
2.02,28.77838002,-25.79914104
2.03,28.38603064,-23.37632561
2.04,27.98597132,-20.8157868
2.05,27.57857606,-18.11643957
2.06,27.16419796,-15.27997029
2.07,26.74317157,-12.31166871
2.08,26.31581478,-9.221305151
2.09,25.88243052,-6.023965683
2.1,25.44330817,-2.740719889
2.11,24.99872486,0.6010356303
2.12,24.54894646,3.967725246
2.13,24.09422858,7.320376944
2.14,23.6348173,10.61611394
2.15,23.17094989,13.81031785
2.16,22.70285543,16.85928923
2.17,22.23075528,19.72310308
2.18,21.75486358,22.3682773
2.19,21.27538766,24.76987299
2.2,20.79252834,26.91273435
2.21,20.30648028,28.79173258
2.22,19.81743225,30.41105798
2.23,19.32556739,31.78275891
2.24,18.83106338,32.92481905
2.25,18.33409268,33.85908316
2.26,17.83482271,34.60929812
2.27,17.33341594,35.19945451
2.28,16.83003008,35.65252354
2.29,16.32481819,35.98960477
2.3,15.81792876,36.22944416
2.31,15.30950582,36.38825122
2.32,14.79968904,36.47973423
2.33,14.28861376,36.51527761
2.34,13.7764111,36.50419822
2.35,13.263208,36.45403329
2.36,12.74912733,36.37082742
2.37,12.23428788,36.2593989
2.38,11.71880449,36.12357501
2.39,11.20278809,35.9663926
2.4,10.68634575,35.79026458
2.41,10.16958077,35.59711523
2.42,9.652592764,35.38848839
2.43,9.13547769,35.16563289
2.44,8.618327951,34.92956933
2.45,8.101232462,34.68114191
2.46,7.584276731,34.4210584
2.47,7.067542919,34.14992097
2.48,6.55110993,33.86824973
2.49,6.035053486,33.5765009
2.5,5.519446183,33.27508067
2.51,5.004357588,32.9643559
2.52,4.489854306,32.64466233
2.53,3.976000043,32.31631093
2.54,3.462855685,31.97959278
2.55,2.950479376,31.63478292
2.56,2.43892658,31.28214331
2.57,1.928250144,30.92192511
2.58,1.418500375,30.55437054
2.59,0.9097251111,30.17971424
2.6,0.4019697815,29.79818445
2.61,-0.1047225254,29.41000379
2.62,-0.6103110068,29.01539001
2.63,-1.114757075,28.61455648
2.64,-1.618024295,28.2077126
2.65,-2.12007832,27.7950641
2.66,-2.620886838,27.37681331
2.67,-3.120419507,26.95315925
2.68,-3.618647899,26.52429787
2.69,-4.115545445,26.090422
2.7,-4.611087376,25.65172154
2.71,-5.105250672,25.20838336
2.72,-5.598014002,24.76059141
2.73,-6.089357683,24.30852668
2.74,-6.579263628,23.85236716
