t_ms,vm_soma_mV,vm_far_mV
2.37500,30.488065,28.137642
2.38750,30.013454,30.941785
2.40000,29.531072,33.281631
2.41250,29.041199,35.174277
2.42500,28.544109,36.659309
2.43750,28.040074,37.790069
2.45000,27.529360,38.625171
2.46250,27.012235,39.221737
2.47500,26.488957,39.631001
2.48750,25.959786,39.896126
2.50000,25.424975,40.051756
2.51250,24.884778,40.124645
2.52500,24.339442,40.134832
2.53750,23.789210,40.096976
2.55000,23.234323,40.021612
2.56250,22.675019,39.916218
2.57500,22.111528,39.786059
2.58750,21.544079,39.634837
2.60000,20.972897,39.465161
2.61250,20.398199,39.278879
2.62500,19.820201,39.077324
2.63750,19.239113,38.861467
2.65000,18.655140,38.632037
2.66250,18.068484,38.389594
2.67500,17.479338,38.134582
2.68750,16.887894,37.867364
2.70000,16.294338,37.588249
2.71250,15.698849,37.297507
2.72500,15.101603,36.995382
2.73750,14.502772,36.682099
2.75000,13.902518,36.357874
2.76250,13.301003,36.022913
2.77500,12.698381,35.677420
2.78750,12.094802,35.321595
2.80000,11.490410,34.955641
2.81250,10.885344,34.579759
2.82500,10.279739,34.194153
2.83750,9.673723,33.799030
2.85000,9.067421,33.394597
2.86250,8.460953,32.981069
2.87500,7.854430,32.558657
2.88750,7.247964,32.127581
2.90000,6.641658,31.688060
2.91250,6.035612,31.240317
2.92500,5.429923,30.784576
2.93750,4.824679,30.321065
2.95000,4.219966,29.850010
2.96250,3.615867,29.371641
2.97500,3.012456,28.886189
2.98750,2.409813,28.393883
3.00000,1.807999,27.894955
3.01250,1.207081,27.389634
3.02500,0.607121,26.878152
3.03750,0.008172,26.360737
3.05000,-0.589705,25.837616
3.06250,-1.186470,25.309017
3.07500,-1.782073,24.775164
3.08750,-2.376474,24.236279
3.10000,-2.969637,23.692582
3.11250,-3.561517,23.144291
3.12500,-4.152094,22.591620
3.13750,-4.741333,22.034781
3.15000,-5.329212,21.473981
3.16250,-5.915711,20.909425
3.17500,-6.500801,20.341313
3.18750,-7.084479,19.769844
3.20000,-7.666720,19.195209
3.21250,-8.247523,18.617597
3.22500,-8.826879,18.037193
3.23750,-9.404780,17.454178
3.25000,-9.981232,16.868726
3.26250,-10.556218,16.281008
3.27500,-11.129763,15.691192
3.28750,-11.701862,15.099439
3.30000,-12.272532,14.505905
3.31250,-12.841785,13.910743
3.32500,-13.409630,13.314102
3.33750,-13.976095,12.716121
3.35000,-14.541179,12.116941
3.36250,-15.104933,11.516693
3.37500,-15.667366,10.915506
3.38750,-16.228524,10.313504
3.40000,-16.788436,9.710804
3.41250,-17.347136,9.107520
3.42500,-17.904673,8.503762
3.43750,-18.461074,7.899633
3.45000,-19.016410,7.295234
3.46250,-19.570705,6.690659
3.47500,-20.124047,6.085998
3.48750,-20.676481,5.481340
3.50000,-21.228089,4.876763
3.51250,-21.778934,4.272347
3.52500,-22.329095,3.668162
3.53750,-22.878661,3.064278
3.55000,-23.427703,2.460762
3.56250,-23.976339,1.857670
3.57500,-24.524638,1.255062
3.58750,-25.072746,0.652987
3.60000,-25.620751,0.051494
3.61250,-26.168806,-0.549369
3.62500,-26.717025,-1.149566
3.63750,-27.265560,-1.749057
3.65000,-27.814558,-2.347811
3.66250,-28.364173,-2.945801
3.67500,-28.914585,-3.542992
3.68750,-29.465951,-4.139372
3.70000,-30.018487,-4.734915
3.71250,-30.572359,-5.329610
3.72500,-31.127820,-5.923447
3.73750,-31.685069,-6.516409
3.75000,-32.244361,-7.108501
3.76250,-32.805938,-7.699713
3.77500,-33.370059,-8.290054
3.78750,-33.937007,-8.879531
3.80000,-34.507047,-9.468144
3.81250,-35.080508,-10.055916
3.82500,-35.657681,-10.642850
3.83750,-36.238917,-11.228980
3.85000,-36.824548,-11.814326
3.86250,-37.414930,-12.398914
3.87500,-38.010435,-12.982782
3.88750,-38.611424,-13.565947
3.90000,-39.218311,-14.148471
3.91250,-39.831489,-14.730391
3.92500,-40.451368,-15.311760
3.93750,-41.078370,-15.892638
3.95000,-41.712909,-16.473072
3.96250,-42.355419,-17.053145
3.97500,-43.006321,-17.632909
3.98750,-43.666039,-18.212462
4.00000,-44.334984,-18.791886
4.01250,-45.013555,-19.371271
4.02500,-45.702143,-19.950727
4.03750,-46.401095,-20.530341
4.05000,-47.110732,-21.110258
4.06250,-47.831346,-21.690589
4.07500,-48.563165,-22.271485
4.08750,-49.306345,-22.853098
4.10000,-50.060988,-23.435577
4.11250,-50.827119,-24.019115
4.12500,-51.604632,-24.603871
4.13750,-52.393300,-25.190078
4.15000,-53.192785,-25.777948
4.16250,-54.002614,-26.367717
4.17500,-54.822157,-26.959648
4.18750,-55.650545,-27.553990
4.20000,-56.486735,-28.151065
4.21250,-57.329500,-28.751178
4.22500,-58.177400,-29.354678
