t_ms,vm_soma_mV,vm_far_mV
1.79,34.03581049,-55.26532604
1.8,34.07456435,-54.64486245
1.81,34.07102838,-53.98744967
1.82,34.02958786,-53.29080886
1.83,33.95407035,-52.55251329
1.84,33.84781581,-51.76997356
1.85,33.71373682,-50.94042556
1.86,33.55436662,-50.06091978
1.87,33.37193032,-49.1282755
1.88,33.16835839,-48.13910666
1.89,32.94534774,-47.08976725
1.9,32.70439337,-45.97635026
1.91,32.4468169,-44.79465852
1.92,32.17378374,-43.54020021
1.93,31.88633772,-42.20817293
1.94,31.58541367,-40.79346009
1.95,31.27184118,-39.29062795
1.96,30.94638061,-37.69394987
1.97,30.60972196,-35.99742621
1.98,30.2624846,-34.1948604
1.99,29.9052441,-32.27995477
2,29.53852754,-30.24645699
2.01,29.1628194,-28.08836374
2.02,28.77857543,-25.80020855
2.03,28.3862251,-23.37745333
2.04,27.98616081,-20.81697743
2.05,27.57876012,-18.1176929
2.06,27.1643845,-15.28128185
2.07,26.74336033,-12.31303591
2.08,26.31600437,-9.222722426
2.09,25.88261982,-6.025424518
2.1,25.4434995,-2.742208886
2.11,24.99891354,0.5995311755
2.12,24.54913576,3.966221451
2.13,24.09442115,7.318891292
2.14,23.63501374,10.61466644
2.15,23.17114906,13.80892938
2.16,22.70305785,16.85797719
2.17,22.23095405,19.72188471
2.18,21.75505655,22.3671647
2.19,21.27557593,24.76887433
2.2,20.79271528,26.91185326
2.21,20.30666726,28.79096836
2.22,19.8176201,30.4104076
2.23,19.32575646,31.78221568
2.24,18.8312522,32.92437728
2.25,18.33428165,33.8587277
2.26,17.83501391,34.60901885
2.27,17.33361,35.19924172
2.28,16.83022656,35.65236754
2.29,16.32501905,35.98949541
2.3,15.81813513,36.22937488
2.31,15.30971319,36.38821629
2.32,14.79989875,36.47972714
2.33,14.2888273,36.51529069
2.34,13.77663005,36.50423104
2.35,13.26343427,36.4540815
2.36,12.74935321,36.37088919
2.37,12.23451917,36.25947426
2.38,11.71904116,36.12366203
