t_ms,vm_soma_mV,vm_far_mV
1.87000,28.203023,-56.642416
1.88000,29.908863,-56.328102
1.89000,31.422468,-55.996404
1.90000,32.749239,-55.646033
1.91000,33.898601,-55.275618
1.92000,34.882887,-54.883706
1.93000,35.716252,-54.468761
1.94000,36.413690,-54.029160
1.95000,36.990233,-53.563189
1.96000,37.460339,-53.069036
1.97000,37.837477,-52.544788
1.98000,38.133876,-51.988422
1.99000,38.360414,-51.397797
2.00000,38.526611,-50.770644
2.01000,38.640686,-50.104553
2.02000,38.709665,-49.396960
2.03000,38.739505,-48.645132
2.04000,38.735228,-47.846149
2.05000,38.701053,-46.996887
2.06000,38.640513,-46.093994
2.07000,38.556568,-45.133870
2.08000,38.451696,-44.112645
2.09000,38.327977,-43.026149
2.10000,38.187160,-41.869889
2.11000,38.030720,-40.639025
2.12000,37.859906,-39.328346
2.13000,37.675781,-37.932246
2.14000,37.479255,-36.444718
2.15000,37.271109,-34.859347
2.16000,37.052018,-33.169326
2.17000,36.822571,-31.367499
2.18000,36.583282,-29.446432
2.19000,36.334605,-27.398549
2.20000,36.076943,-25.216323
2.21000,35.810658,-22.892567
2.22000,35.536073,-20.420848
2.23000,35.253484,-17.796035
2.24000,34.963161,-15.015037
2.25000,34.665353,-12.077710
2.26000,34.360291,-8.987952
2.27000,34.048191,-5.754923
2.28000,33.729258,-2.394289
2.29000,33.403684,1.070678
2.30000,33.071654,4.608378
2.31000,32.733344,8.178826
2.32000,32.388924,11.734515
2.33000,32.038559,15.222378
2.34000,31.682410,18.586839
2.35000,31.320632,21.773692
2.36000,30.953379,24.734315
2.37000,30.580800,27.429564
2.38000,30.203044,29.832679
2.39000,29.820255,31.930734
2.40000,29.432577,33.724462
2.41000,29.040151,35.226604
2.42000,28.643118,36.459230
2.43000,28.241615,37.450583
2.44000,27.835781,38.231959
2.45000,27.425750,38.835036
2.46000,27.011658,39.289858
2.47000,26.593637,39.623518
2.48000,26.171820,39.859484
2.49000,25.746336,40.017426
2.50000,25.317316,40.113384
2.51000,24.884887,40.160145
2.52000,24.449176,40.167715
2.53000,24.010307,40.143807
2.54000,23.568404,40.094296
2.55000,23.123588,40.023616
2.56000,22.675980,39.935099
2.57000,22.225698,39.831233
2.58000,21.772859,39.713882
2.59000,21.317577,39.584443
2.60000,20.859967,39.443969
2.61000,20.400138,39.293258
2.62000,19.938202,39.132927
2.63000,19.474264,38.963452
2.64000,19.008431,38.785213
2.65000,18.540807,38.598513
2.66000,18.071492,38.403605
2.67000,17.600586,38.200697
2.68000,17.128188,37.989971
2.69000,16.654392,37.771584
2.70000,16.179292,37.545680
2.71000,15.702979,37.312387
2.72000,15.225543,37.071827
2.73000,14.747071,36.824112
2.74000,14.267648,36.569354
2.75000,13.787356,36.307658
2.76000,13.306277,36.039127
2.77000,12.824490,35.763866
2.78000,12.342070,35.481976
2.79000,11.859093,35.193560
2.80000,11.375632,34.898720
2.81000,10.891755,34.597559
